The solutions associated with the color generation algorithm are: 
1 => [1. 2. 1. 2. 3. 4. 3. 2.]
2 => [1. 2. 1. 2. 3. 4. 3. 4.]
3 => [1. 2. 1. 2. 3. 4. 4. 2.]
4 => [1. 2. 1. 2. 3. 4. 4. 3.]
5 => [1. 2. 1. 2. 4. 3. 3. 2.]
6 => [1. 2. 1. 2. 4. 3. 3. 4.]
7 => [1. 2. 1. 2. 4. 3. 4. 2.]
8 => [1. 2. 1. 2. 4. 3. 4. 3.]
9 => [1. 2. 1. 3. 2. 4. 2. 3.]
10 => [1. 2. 1. 3. 2. 4. 2. 4.]
11 => [1. 2. 1. 3. 2. 4. 4. 2.]
12 => [1. 2. 1. 3. 2. 4. 4. 3.]
13 => [1. 2. 1. 3. 4. 2. 2. 3.]
14 => [1. 2. 1. 3. 4. 2. 2. 4.]
15 => [1. 2. 1. 3. 4. 2. 4. 2.]
16 => [1. 2. 1. 3. 4. 2. 4. 3.]
17 => [1. 2. 1. 4. 2. 3. 2. 3.]
18 => [1. 2. 1. 4. 2. 3. 2. 4.]
19 => [1. 2. 1. 4. 2. 3. 3. 2.]
20 => [1. 2. 1. 4. 2. 3. 3. 4.]
21 => [1. 2. 1. 4. 3. 2. 2. 3.]
22 => [1. 2. 1. 4. 3. 2. 2. 4.]
23 => [1. 2. 1. 4. 3. 2. 3. 2.]
24 => [1. 2. 1. 4. 3. 2. 3. 4.]
25 => [1. 2. 3. 1. 2. 4. 2. 4.]
26 => [1. 2. 3. 1. 2. 4. 4. 2.]
27 => [1. 2. 3. 1. 4. 2. 2. 4.]
28 => [1. 2. 3. 1. 4. 2. 4. 2.]
29 => [1. 2. 3. 2. 1. 4. 1. 2.]
30 => [1. 2. 3. 2. 1. 4. 1. 4.]
31 => [1. 2. 3. 2. 1. 4. 4. 2.]
32 => [1. 2. 3. 2. 4. 1. 1. 2.]
33 => [1. 2. 3. 2. 4. 1. 1. 4.]
34 => [1. 2. 3. 2. 4. 1. 4. 2.]
35 => [1. 2. 3. 4. 1. 2. 1. 2.]
36 => [1. 2. 3. 4. 1. 2. 1. 4.]
37 => [1. 2. 3. 4. 1. 2. 2. 4.]
38 => [1. 2. 3. 4. 2. 1. 1. 2.]
39 => [1. 2. 3. 4. 2. 1. 1. 4.]
40 => [1. 2. 3. 4. 2. 1. 2. 4.]
41 => [1. 2. 4. 1. 2. 3. 2. 3.]
42 => [1. 2. 4. 1. 2. 3. 3. 2.]
43 => [1. 2. 4. 1. 3. 2. 2. 3.]
44 => [1. 2. 4. 1. 3. 2. 3. 2.]
45 => [1. 2. 4. 2. 1. 3. 1. 2.]
46 => [1. 2. 4. 2. 1. 3. 1. 3.]
47 => [1. 2. 4. 2. 1. 3. 3. 2.]
48 => [1. 2. 4. 2. 3. 1. 1. 2.]
49 => [1. 2. 4. 2. 3. 1. 1. 3.]
50 => [1. 2. 4. 2. 3. 1. 3. 2.]
51 => [1. 2. 4. 3. 1. 2. 1. 2.]
52 => [1. 2. 4. 3. 1. 2. 1. 3.]
53 => [1. 2. 4. 3. 1. 2. 2. 3.]
54 => [1. 2. 4. 3. 2. 1. 1. 2.]
55 => [1. 2. 4. 3. 2. 1. 1. 3.]
56 => [1. 2. 4. 3. 2. 1. 2. 3.]
57 => [1. 3. 1. 2. 3. 4. 3. 2.]
58 => [1. 3. 1. 2. 3. 4. 3. 4.]
59 => [1. 3. 1. 2. 3. 4. 4. 2.]
60 => [1. 3. 1. 2. 3. 4. 4. 3.]
61 => [1. 3. 1. 2. 4. 3. 3. 2.]
62 => [1. 3. 1. 2. 4. 3. 3. 4.]
63 => [1. 3. 1. 2. 4. 3. 4. 2.]
64 => [1. 3. 1. 2. 4. 3. 4. 3.]
65 => [1. 3. 1. 3. 2. 4. 2. 3.]
66 => [1. 3. 1. 3. 2. 4. 2. 4.]
67 => [1. 3. 1. 3. 2. 4. 4. 2.]
68 => [1. 3. 1. 3. 2. 4. 4. 3.]
69 => [1. 3. 1. 3. 4. 2. 2. 3.]
70 => [1. 3. 1. 3. 4. 2. 2. 4.]
71 => [1. 3. 1. 3. 4. 2. 4. 2.]
72 => [1. 3. 1. 3. 4. 2. 4. 3.]
73 => [1. 3. 1. 4. 2. 3. 2. 3.]
74 => [1. 3. 1. 4. 2. 3. 2. 4.]
75 => [1. 3. 1. 4. 2. 3. 3. 2.]
76 => [1. 3. 1. 4. 2. 3. 3. 4.]
77 => [1. 3. 1. 4. 3. 2. 2. 3.]
78 => [1. 3. 1. 4. 3. 2. 2. 4.]
79 => [1. 3. 1. 4. 3. 2. 3. 2.]
80 => [1. 3. 1. 4. 3. 2. 3. 4.]
81 => [1. 3. 2. 1. 3. 4. 3. 4.]
82 => [1. 3. 2. 1. 3. 4. 4. 3.]
83 => [1. 3. 2. 1. 4. 3. 3. 4.]
84 => [1. 3. 2. 1. 4. 3. 4. 3.]
85 => [1. 3. 2. 3. 1. 4. 1. 3.]
86 => [1. 3. 2. 3. 1. 4. 1. 4.]
87 => [1. 3. 2. 3. 1. 4. 4. 3.]
88 => [1. 3. 2. 3. 4. 1. 1. 3.]
89 => [1. 3. 2. 3. 4. 1. 1. 4.]
90 => [1. 3. 2. 3. 4. 1. 4. 3.]
91 => [1. 3. 2. 4. 1. 3. 1. 3.]
92 => [1. 3. 2. 4. 1. 3. 1. 4.]
93 => [1. 3. 2. 4. 1. 3. 3. 4.]
94 => [1. 3. 2. 4. 3. 1. 1. 3.]
95 => [1. 3. 2. 4. 3. 1. 1. 4.]
96 => [1. 3. 2. 4. 3. 1. 3. 4.]
97 => [1. 3. 4. 1. 2. 3. 2. 3.]
98 => [1. 3. 4. 1. 2. 3. 3. 2.]
99 => [1. 3. 4. 1. 3. 2. 2. 3.]
100 => [1. 3. 4. 1. 3. 2. 3. 2.]
101 => [1. 3. 4. 2. 1. 3. 1. 2.]
102 => [1. 3. 4. 2. 1. 3. 1. 3.]
103 => [1. 3. 4. 2. 1. 3. 3. 2.]
104 => [1. 3. 4. 2. 3. 1. 1. 2.]
105 => [1. 3. 4. 2. 3. 1. 1. 3.]
106 => [1. 3. 4. 2. 3. 1. 3. 2.]
107 => [1. 3. 4. 3. 1. 2. 1. 2.]
108 => [1. 3. 4. 3. 1. 2. 1. 3.]
109 => [1. 3. 4. 3. 1. 2. 2. 3.]
110 => [1. 3. 4. 3. 2. 1. 1. 2.]
111 => [1. 3. 4. 3. 2. 1. 1. 3.]
112 => [1. 3. 4. 3. 2. 1. 2. 3.]
113 => [1. 4. 1. 2. 3. 4. 3. 2.]
114 => [1. 4. 1. 2. 3. 4. 3. 4.]
115 => [1. 4. 1. 2. 3. 4. 4. 2.]
116 => [1. 4. 1. 2. 3. 4. 4. 3.]
117 => [1. 4. 1. 2. 4. 3. 3. 2.]
118 => [1. 4. 1. 2. 4. 3. 3. 4.]
119 => [1. 4. 1. 2. 4. 3. 4. 2.]
120 => [1. 4. 1. 2. 4. 3. 4. 3.]
121 => [1. 4. 1. 3. 2. 4. 2. 3.]
122 => [1. 4. 1. 3. 2. 4. 2. 4.]
123 => [1. 4. 1. 3. 2. 4. 4. 2.]
124 => [1. 4. 1. 3. 2. 4. 4. 3.]
125 => [1. 4. 1. 3. 4. 2. 2. 3.]
126 => [1. 4. 1. 3. 4. 2. 2. 4.]
127 => [1. 4. 1. 3. 4. 2. 4. 2.]
128 => [1. 4. 1. 3. 4. 2. 4. 3.]
129 => [1. 4. 1. 4. 2. 3. 2. 3.]
130 => [1. 4. 1. 4. 2. 3. 2. 4.]
131 => [1. 4. 1. 4. 2. 3. 3. 2.]
132 => [1. 4. 1. 4. 2. 3. 3. 4.]
133 => [1. 4. 1. 4. 3. 2. 2. 3.]
134 => [1. 4. 1. 4. 3. 2. 2. 4.]
135 => [1. 4. 1. 4. 3. 2. 3. 2.]
136 => [1. 4. 1. 4. 3. 2. 3. 4.]
137 => [1. 4. 2. 1. 3. 4. 3. 4.]
138 => [1. 4. 2. 1. 3. 4. 4. 3.]
139 => [1. 4. 2. 1. 4. 3. 3. 4.]
140 => [1. 4. 2. 1. 4. 3. 4. 3.]
141 => [1. 4. 2. 3. 1. 4. 1. 3.]
142 => [1. 4. 2. 3. 1. 4. 1. 4.]
143 => [1. 4. 2. 3. 1. 4. 4. 3.]
144 => [1. 4. 2. 3. 4. 1. 1. 3.]
145 => [1. 4. 2. 3. 4. 1. 1. 4.]
146 => [1. 4. 2. 3. 4. 1. 4. 3.]
147 => [1. 4. 2. 4. 1. 3. 1. 3.]
148 => [1. 4. 2. 4. 1. 3. 1. 4.]
149 => [1. 4. 2. 4. 1. 3. 3. 4.]
150 => [1. 4. 2. 4. 3. 1. 1. 3.]
151 => [1. 4. 2. 4. 3. 1. 1. 4.]
152 => [1. 4. 2. 4. 3. 1. 3. 4.]
153 => [1. 4. 3. 1. 2. 4. 2. 4.]
154 => [1. 4. 3. 1. 2. 4. 4. 2.]
155 => [1. 4. 3. 1. 4. 2. 2. 4.]
156 => [1. 4. 3. 1. 4. 2. 4. 2.]
157 => [1. 4. 3. 2. 1. 4. 1. 2.]
158 => [1. 4. 3. 2. 1. 4. 1. 4.]
159 => [1. 4. 3. 2. 1. 4. 4. 2.]
160 => [1. 4. 3. 2. 4. 1. 1. 2.]
161 => [1. 4. 3. 2. 4. 1. 1. 4.]
162 => [1. 4. 3. 2. 4. 1. 4. 2.]
163 => [1. 4. 3. 4. 1. 2. 1. 2.]
164 => [1. 4. 3. 4. 1. 2. 1. 4.]
165 => [1. 4. 3. 4. 1. 2. 2. 4.]
166 => [1. 4. 3. 4. 2. 1. 1. 2.]
167 => [1. 4. 3. 4. 2. 1. 1. 4.]
168 => [1. 4. 3. 4. 2. 1. 2. 4.]
169 => [2. 1. 2. 1. 3. 4. 3. 1.]
170 => [2. 1. 2. 1. 3. 4. 3. 4.]
171 => [2. 1. 2. 1. 3. 4. 4. 1.]
172 => [2. 1. 2. 1. 3. 4. 4. 3.]
173 => [2. 1. 2. 1. 4. 3. 3. 1.]
174 => [2. 1. 2. 1. 4. 3. 3. 4.]
175 => [2. 1. 2. 1. 4. 3. 4. 1.]
176 => [2. 1. 2. 1. 4. 3. 4. 3.]
177 => [2. 1. 2. 3. 1. 4. 1. 3.]
178 => [2. 1. 2. 3. 1. 4. 1. 4.]
179 => [2. 1. 2. 3. 1. 4. 4. 1.]
180 => [2. 1. 2. 3. 1. 4. 4. 3.]
181 => [2. 1. 2. 3. 4. 1. 1. 3.]
182 => [2. 1. 2. 3. 4. 1. 1. 4.]
183 => [2. 1. 2. 3. 4. 1. 4. 1.]
184 => [2. 1. 2. 3. 4. 1. 4. 3.]
185 => [2. 1. 2. 4. 1. 3. 1. 3.]
186 => [2. 1. 2. 4. 1. 3. 1. 4.]
187 => [2. 1. 2. 4. 1. 3. 3. 1.]
188 => [2. 1. 2. 4. 1. 3. 3. 4.]
189 => [2. 1. 2. 4. 3. 1. 1. 3.]
190 => [2. 1. 2. 4. 3. 1. 1. 4.]
191 => [2. 1. 2. 4. 3. 1. 3. 1.]
192 => [2. 1. 2. 4. 3. 1. 3. 4.]
193 => [2. 1. 3. 1. 2. 4. 2. 1.]
194 => [2. 1. 3. 1. 2. 4. 2. 4.]
195 => [2. 1. 3. 1. 2. 4. 4. 1.]
196 => [2. 1. 3. 1. 4. 2. 2. 1.]
197 => [2. 1. 3. 1. 4. 2. 2. 4.]
198 => [2. 1. 3. 1. 4. 2. 4. 1.]
199 => [2. 1. 3. 2. 1. 4. 1. 4.]
200 => [2. 1. 3. 2. 1. 4. 4. 1.]
201 => [2. 1. 3. 2. 4. 1. 1. 4.]
202 => [2. 1. 3. 2. 4. 1. 4. 1.]
203 => [2. 1. 3. 4. 1. 2. 1. 4.]
204 => [2. 1. 3. 4. 1. 2. 2. 1.]
205 => [2. 1. 3. 4. 1. 2. 2. 4.]
206 => [2. 1. 3. 4. 2. 1. 1. 4.]
207 => [2. 1. 3. 4. 2. 1. 2. 1.]
208 => [2. 1. 3. 4. 2. 1. 2. 4.]
209 => [2. 1. 4. 1. 2. 3. 2. 1.]
210 => [2. 1. 4. 1. 2. 3. 2. 3.]
211 => [2. 1. 4. 1. 2. 3. 3. 1.]
212 => [2. 1. 4. 1. 3. 2. 2. 1.]
213 => [2. 1. 4. 1. 3. 2. 2. 3.]
214 => [2. 1. 4. 1. 3. 2. 3. 1.]
215 => [2. 1. 4. 2. 1. 3. 1. 3.]
216 => [2. 1. 4. 2. 1. 3. 3. 1.]
217 => [2. 1. 4. 2. 3. 1. 1. 3.]
218 => [2. 1. 4. 2. 3. 1. 3. 1.]
219 => [2. 1. 4. 3. 1. 2. 1. 3.]
220 => [2. 1. 4. 3. 1. 2. 2. 1.]
221 => [2. 1. 4. 3. 1. 2. 2. 3.]
222 => [2. 1. 4. 3. 2. 1. 1. 3.]
223 => [2. 1. 4. 3. 2. 1. 2. 1.]
224 => [2. 1. 4. 3. 2. 1. 2. 3.]
225 => [2. 3. 1. 2. 3. 4. 3. 4.]
226 => [2. 3. 1. 2. 3. 4. 4. 3.]
227 => [2. 3. 1. 2. 4. 3. 3. 4.]
228 => [2. 3. 1. 2. 4. 3. 4. 3.]
229 => [2. 3. 1. 3. 2. 4. 2. 3.]
230 => [2. 3. 1. 3. 2. 4. 2. 4.]
231 => [2. 3. 1. 3. 2. 4. 4. 3.]
232 => [2. 3. 1. 3. 4. 2. 2. 3.]
233 => [2. 3. 1. 3. 4. 2. 2. 4.]
234 => [2. 3. 1. 3. 4. 2. 4. 3.]
235 => [2. 3. 1. 4. 2. 3. 2. 3.]
236 => [2. 3. 1. 4. 2. 3. 2. 4.]
237 => [2. 3. 1. 4. 2. 3. 3. 4.]
238 => [2. 3. 1. 4. 3. 2. 2. 3.]
239 => [2. 3. 1. 4. 3. 2. 2. 4.]
240 => [2. 3. 1. 4. 3. 2. 3. 4.]
241 => [2. 3. 2. 1. 3. 4. 3. 1.]
